id,name,url,icon_url,display_order,father_id
1,文献翻译,https://www.scholaread.cn/?ref=,images/文献翻译.png,1,1
2,论文AI自动生成,https://ibiling.cn/paper-plus?from=kyfwpaperjj,images/论文AI自动生成.png,2,1
3,Ai论文生成(专业版),https://www.aibiye.com/?code=XCbZfA,images/Ai论文生成(专业版).png,3,1
4,小绿鲸英文文献阅读器,https://www.xljsci.com/?channelCode=D1sGbF,images/小绿鲸英文文献阅读器.png,4,1
5,降AI率神器,https://www.scholingo.cn/ai-writer/detector?source=kyfw1,images/降AI率神器.png,5,1
6,iThenticate查重,https://www.citexs.com/citexs_iThenticate,images/iThenticate查重.png,6,1
7,AI率降到20%,https://www.aigcleaner.com/?source=ky,images/AI率降到20%.png,7,1
8,AI导航,https://www..top/more/ai/,images/AI导航.svg,8,1
9,降重降AI,https://www.aigcleaner.com/?source=ggj,images/降重降AI.png,9,1
10,AI写综述,https://www.xieasy.com/tools/literatureReviewMarket?code=,images/AI写综述.png,10,1
11,AI一键论文·包AI率,https://www.aipaperpass.com/?pic=OgkQ,images/AI一键论文·包AI率.png,11,1
12,免费AI论文,https://www.scholingo.cn/?source=kyfw2,images/免费AI论文.png,12,1
13,面试答案提词器,https://offergoose.cn/lp/winrar2/,images/面试答案提词器.png,13,1
14,PaperFake AI写论文,https://paperfake.cn/?q=,images/PaperFake AI写论文.png,14,1
15,PaperFake专业降AI,https://paperfake.cn/aigc/?q=,images/PaperFake专业降AI.png,15,1
16,科研神站,https://www..top/more/keyanshenzhan/,images/科研神站.svg,16,1
17,免费AI面试官,https://offergoose.cn/lp/winrar/,images/免费AI面试官.png,17,1
18,论文猫-免费无限改稿,https://papercat.pro/?utm_source=.top,images/论文猫-免费无限改稿.png,18,1
19,Ai论文（低Ai查重率）,https://www.aibiye.com/?code=CXrX2G,images/Ai论文（低Ai查重率）.png,19,1
20,茅茅虫论文写作,https://www.mmc.cc/?fromId=8x1bo0y4,images/茅茅虫论文写作.png,20,1
21,笔目鱼英文论文写作器,https://www.bmysci.com/?channelCode=kyfwad,images/笔目鱼英文论文写作器.png,21,1
22,AI英文论文润色,https://www.editage.cn/paperpal?utm_source=&utm_medium=Banner&utm_campaign=Banner,images/AI英文论文润色.png,22,1
23,工具导航,https://www..top/more/tool/,images/工具导航.svg,23,1
24,微信群聊,https://www.docs..top/?post=2,images/微信群聊.svg,24,1
25,AI论文一键生成,https://ibiling.cn/paper?from=kyfwpaper2,images/AI论文一键生成.png,1,2
26,免费 AI 写作,https://ibiling.cn/?from=kyfw,images/免费 AI 写作.png,2,2
27,中科院学术GPT,https://www.academic..top/,images/中科院学术GPT.svg,3,2
28,GPT Academic,https://www.ai-age..top/?id=3,images/GPT Academic.png,4,2
29,Chatbox AI,https://www.ai-age..top/?id=4,images/Chatbox AI.png,5,2
30,PDFMathTranslate,https://www.ai-age..top/?id=5,images/PDFMathTranslate.svg,6,2
31,NextChat,http://www.gpt..top/,images/NextChat.png,7,2
32,Trae AI自动编程,https://www.trae.com.cn/?utm_source=advertising&utm_medium=_ug_cpa&utm_term=hw_trae_,images/Trae AI自动编程.png,1,3
33,DeepSeek官方,https://chat.deepseek.com/,images/DeepSeek官方.png,2,3
34,腾讯元宝,https://yuanbao.tencent.com/chat/,images/腾讯元宝.png,3,3
35,华为小艺,https://xiaoyi.huawei.com/chat/,images/华为小艺.png,4,3
36,超算互联网,https://www.scnet.cn/ui/chatbot/#/chat,images/超算互联网.png,5,3
37,秘塔AI,https://metaso.cn/,images/秘塔AI.png,6,3
38,纳米AI,https://www.n.cn/,images/纳米AI.png,7,3
39,deepinfra,https://deepinfra.com/chat,images/deepinfra.png,8,3
40,笔灵AI降重,https://ibiling.cn/jiangchong?from=kyfwjc,images/笔灵AI降重.png,1,4
41,PubScholar,https://pubscholar.cn/,images/PubScholar.png,2,4
42,万方,https://www.wanfangdata.com.cn/index.html,images/万方.svg,3,4
43,维普,https://qikan.cqvip.com/,images/维普.svg,4,4
44,科学文库,https://book.sciencereading.cn/,images/科学文库.svg,5,4
45,知网,https://www.cnki.net/,images/知网.svg,6,4
46,ChinaXiv,https://chinaxiv.org/home.htm,images/ChinaXiv.png,7,4
